"Refs","Value","Footprint","Qty","DNP"
"C1","0.1uF","Capacitor_SMD:C_0603_1608Metric","1",""
"C2","10nF","Capacitor_SMD:C_0603_1608Metric","1",""
"C3","22pF","Capacitor_SMD:C_0603_1608Metric","1",""
"C4","22pf","Capacitor_SMD:C_0603_1608Metric","1",""
"C5","100nF","Capacitor_SMD:C_0603_1608Metric","1",""
"C6","100nF","Capacitor_SMD:C_0603_1608Metric","1",""
"D1","LED","LED_SMD:LED_0805_2012Metric","1",""
"DWM1","DWM3000","RF_Module:DWM1000","1",""
"R1","100k","Resistor_SMD:R_0805_2012Metric","1",""
"R2","10K","Resistor_SMD:R_0805_2012Metric","1",""
"R3","10K","Resistor_SMD:R_0805_2012Metric","1",""
"R4","10K","Resistor_SMD:R_0805_2012Metric","1",""
"R5","10K","Resistor_SMD:R_0805_2012Metric","1",""
"R6","220","Resistor_SMD:R_0805_2012Metric","1",""
"U1","BNO055","Package_LGA:LGA-28_5.2x3.8mm_P0.5mm","1",""
"U2","XIAO-ESP32-C3-DIP","Seeed Studio XIAO Series Library:XIAO-ESP32C3-DIP","1",""
"Y1","ABS25(32.768kHZ)","Crystal:Crystal_SMD_Abracon_ABS25-4Pin_8.0x3.8mm","1",""
